account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned,support_level,discount_level
3,45.29,1,28,0.152,0.1048,3,No,3.7,0.536,4.47,4.87,7.12,3.8,No,Medium,Low
21,26.16,16,1,0.151,0.0384,1,No,3.1,0.214,4.58,6.52,8.79,3.9,No,Low,Low
48,110.45,13,3,0.437,0.0624,0,No,5.5,0.533,4.27,7.12,9.06,5.4,No,None,Mid
57,74.55,15,49,0.072,0.0088,0,Yes,4.7,0.628,5.0,4.62,9.97,3.1,No,None,Low
49,113.09,1,58,0.146,0.0208,0,No,4.0,0.81,4.89,3.47,9.82,3.3,No,None,Low
8,59.46,1,41,0.15,0.1656,2,No,4.8,0.656,3.55,4.58,6.66,3.7,No,Low,Low
42,44.75,11,28,0.132,0.0808,3,No,2.7,0.589,3.63,4.87,6.36,3.7,No,Medium,Low
36,28.16,10,8,0.063,0.0064,0,No,3.0,0.833,4.32,5.93,9.3,3.3,No,None,Low
29,55.54,1,7,0.232,0.1448,0,No,4.9,0.607,4.35,6.32,8.87,4.3,No,None,Mid
53,92.51,1,9,0.15,0.0816,0,No,0.0,0.561,2.85,4.58,7.58,3.5,No,None,Low
39,57.0,10,5,0.269,0.0152,1,No,7.3,0.427,5.0,7.52,9.28,4.5,No,Low,Mid
34,70.37,26,10,0.227,0.0208,1,No,4.0,0.806,3.94,6.7,8.2,4.2,No,Low,Mid
22,46.9,1,15,0.256,0.0432,0,No,1.9,0.637,2.91,4.92,7.77,4.5,No,None,Mid
55,27.63,28,24,0.309,0.02,0,Yes,3.8,0.891,4.33,6.0,9.26,5.0,No,None,Mid
31,190.85,1,25,0.218,0.028,1,No,5.7,0.587,5.0,5.68,9.24,3.4,No,Low,Low
28,46.14,22,45,0.385,0.3016,1,No,7.6,0.999,3.8,6.02,7.13,5.4,No,Low,Mid
35,131.91,18,27,0.034,0.0128,1,No,4.1,0.27,3.11,5.62,7.4,2.4,No,Low,Low
34,26.17,1,5,0.199,0.1504,2,No,0.3,0.678,3.18,4.88,6.35,4.2,No,Low,Low
13,28.19,7,21,0.415,0.024,0,No,3.7,0.224,5.0,5.42,9.92,5.7,No,None,Mid
41,54.45,21,22,0.194,0.0376,0,No,0.0,0.715,3.98,4.6,8.85,4.0,No,None,Low
4,53.79,2,35,0.255,0.2704,1,No,0.3,0.737,3.46,3.42,6.89,4.5,No,Low,Mid
43,78.45,22,129,0.399,0.0576,1,Yes,0.7,0.54,4.43,1.0,8.57,5.3,Yes,Low,Mid
6,31.99,1,33,0.171,0.044,1,No,0.3,0.414,2.94,3.48,7.13,4.0,Yes,Low,Low
1,67.75,1,13,0.221,0.1752,2,No,0.6,0.285,3.43,4.58,6.51,4.1,No,Low,Low
12,108.72,10,33,0.319,0.1528,2,No,7.4,0.631,3.03,6.15,6.19,4.6,No,Low,Mid
35,180.54,27,46,0.25,0.0152,0,Yes,1.1,0.877,4.14,3.97,9.09,3.7,No,None,Mid
59,69.19,1,11,0.182,0.0272,2,No,5.1,0.668,4.24,6.18,7.82,3.9,No,Low,Low
11,68.17,9,15,0.267,0.0712,3,No,5.2,0.771,3.18,6.28,5.94,4.5,No,Medium,Mid
23,45.74,18,20,0.15,0.2376,3,Yes,5.5,0.706,2.38,6.43,4.59,3.8,No,Medium,Low
14,44.14,1,51,0.396,0.092,2,Yes,6.3,0.737,3.68,4.58,7.04,5.5,No,Low,Mid
19,122.82,5,6,0.207,0.0048,1,No,2.3,0.596,5.0,5.63,9.32,3.7,No,Low,Low
37,53.95,10,10,0.408,0.0896,1,No,3.1,0.564,3.09,5.87,7.12,5.5,No,Low,Mid
16,58.22,5,39,0.156,0.0056,0,No,1.3,0.54,4.96,3.65,9.94,3.7,No,None,Low
44,96.81,12,21,0.193,0.0016,0,No,9.0,0.68,4.18,7.35,9.17,3.8,No,None,Low
28,189.07,1,51,0.317,0.0672,3,No,0.0,0.455,4.17,2.48,6.95,4.1,Yes,Medium,Mid
45,166.89,1,11,0.424,0.044,0,Yes,0.1,0.653,3.76,4.52,8.61,5.0,No,None,Mid
31,92.74,24,17,0.56,0.0392,1,No,2.9,0.376,4.93,5.92,9.13,6.4,No,Low,High
53,54.75,14,12,0.336,0.0312,0,Yes,0.0,0.347,3.86,4.87,8.76,5.0,No,None,Mid
7,137.94,1,5,0.463,0.1848,1,No,3.2,0.9,5.0,5.85,8.72,5.4,No,Low,High
46,33.27,1,1,0.339,0.1112,3,No,3.8,0.633,2.19,6.25,4.82,5.2,No,Medium,Mid
52,44.42,27,47,0.07,0.0728,1,No,5.0,0.611,4.53,5.22,8.62,3.2,No,Low,Low
27,51.38,1,40,0.313,0.1,0,No,5.1,0.476,3.36,4.73,8.03,4.9,No,None,Mid
17,103.54,9,8,0.6,0.0016,1,No,0.5,0.666,4.23,5.07,8.56,6.6,No,Low,High
7,137.76,2,164,0.136,0.0704,3,No,0.0,0.355,3.32,1.0,6.09,3.1,Yes,Medium,Low
15,19.32,1,11,0.309,0.0752,0,No,3.5,0.587,3.88,5.65,8.63,5.0,No,None,Mid
53,49.37,27,50,0.033,0.1376,1,No,4.7,0.925,2.97,4.97,6.84,2.9,No,Low,Low
40,89.13,11,13,0.522,0.0632,0,No,3.3,0.617,3.01,5.82,7.8,6.1,No,None,High
12,48.31,7,16,0.351,0.14,1,No,4.6,0.677,3.39,5.97,7.26,5.2,No,Low,Mid
55,23.35,28,4,0.068,0.0136,1,No,3.3,0.663,2.57,6.83,6.86,3.3,No,Low,Low
8,26.65,7,100,0.196,0.0048,0,No,4.2,0.776,4.35,1.63,9.33,4.2,Yes,None,Low
2,75.57,1,1,0.125,0.004,1,No,3.8,0.564,3.7,6.25,8.02,3.4,No,Low,Low
44,44.41,1,19,0.077,0.2704,1,No,0.0,0.528,3.83,4.08,7.26,3.3,No,Low,Low
59,62.68,15,61,0.491,0.0688,1,No,1.5,0.396,2.71,2.95,6.81,6.1,Yes,Low,High
38,58.91,1,43,0.179,0.0568,1,No,2.5,0.946,3.64,3.72,7.78,3.9,No,Low,Low
56,42.62,1,16,0.33,0.0224,0,No,2.7,0.867,4.96,5.13,9.89,5.1,No,None,Mid
26,42.21,20,8,0.245,0.0312,1,Yes,3.8,0.574,4.44,6.53,8.67,4.5,No,Low,Mid
51,34.73,1,32,0.45,0.0736,1,No,2.7,0.535,4.61,4.33,8.7,5.9,No,Low,High
21,34.77,1,43,0.224,0.0624,2,No,1.6,0.761,4.0,3.42,7.46,4.4,Yes,Low,Low
57,112.04,15,54,0.297,0.036,0,No,1.1,0.748,3.72,3.17,8.6,4.4,Yes,None,Mid
50,56.49,13,3,0.075,0.004,0,Yes,2.7,0.827,4.84,6.18,9.83,3.2,No,None,Low
13,50.97,4,47,0.365,0.084,0,No,1.5,0.372,4.11,3.28,8.83,5.2,No,None,Mid
19,53.44,15,31,0.412,0.148,2,No,4.2,0.313,3.4,5.35,6.57,5.6,No,Low,Mid
18,43.51,1,7,0.452,0.0192,0,Yes,3.3,0.721,4.75,5.78,9.69,5.9,No,None,High
2,79.69,1,29,0.313,0.0744,1,No,2.9,0.812,4.19,4.55,8.28,4.7,No,Low,Mid
52,94.23,40,6,0.119,0.1048,0,Yes,2.3,0.615,3.41,6.8,8.06,3.3,No,None,Low
45,13.06,12,69,0.248,0.224,2,Yes,2.2,0.632,4.0,2.68,6.92,4.7,Yes,Low,Mid
54,49.11,28,30,0.537,0.0464,2,No,5.1,0.521,3.8,6.13,7.31,6.5,No,Low,High
42,56.52,1,32,0.143,0.1192,3,No,0.0,0.674,3.21,3.43,5.81,3.7,Yes,Medium,Low
49,70.11,13,10,0.692,0.124,1,No,0.5,0.544,3.91,5.1,7.83,7.4,No,Low,Extreme
57,75.37,1,16,0.218,0.1824,1,No,2.6,0.927,3.15,5.1,6.88,4.1,No,Low,Low
28,140.37,8,47,0.176,0.064,0,No,6.7,0.657,3.71,5.15,8.5,3.4,No,None,Low
50,209.63,1,15,0.337,0.0944,1,No,3.7,0.492,5.0,5.52,9.02,4.1,No,Low,Mid
23,155.21,6,22,0.252,0.0248,1,No,6.9,0.353,2.87,6.4,7.12,3.8,No,Low,Mid
4,50.81,2,33,0.259,0.0776,0,No,5.7,0.244,4.66,5.32,9.4,4.5,No,None,Mid
4,60.81,1,18,0.085,0.0096,1,No,2.9,0.791,4.27,5.1,8.57,3.2,No,Low,Low
12,95.42,1,9,0.191,0.084,0,No,3.0,0.537,3.46,5.58,8.18,3.8,No,None,Low
22,41.21,6,30,0.731,0.0072,1,No,2.5,0.503,3.59,4.53,7.9,7.9,No,Low,Extreme
26,210.31,1,46,0.177,0.0992,1,No,5.4,0.628,4.6,4.53,8.6,3.0,No,Low,Low
40,46.37,21,1,0.147,0.0952,2,No,3.9,0.971,3.01,6.95,6.36,3.8,No,Low,Low
42,50.5,1,152,0.295,0.0568,1,No,4.6,0.625,4.14,1.57,8.28,4.8,Yes,Low,Mid
35,332.24,9,26,0.477,0.0888,1,Yes,2.0,0.837,4.49,4.67,8.53,4.3,No,Low,High
4,121.05,3,24,0.201,0.0592,2,Yes,3.0,0.926,3.68,4.9,7.15,3.7,No,Low,Low
12,54.42,4,12,0.063,0.036,2,No,4.3,0.731,3.44,5.97,6.99,3.1,No,Low,Low
4,52.08,2,45,0.315,0.0056,1,No,3.0,0.603,3.52,3.82,7.83,4.9,No,Low,Mid
52,167.23,1,47,0.292,0.0312,2,No,5.1,0.844,3.85,4.38,7.41,4.0,No,Low,Mid
57,131.56,1,28,0.292,0.0312,0,No,0.7,0.569,4.28,3.87,9.18,4.3,No,None,Mid
31,64.5,8,0,0.113,0.0032,0,No,0.0,0.548,4.69,5.27,9.68,3.4,No,None,Low
7,89.03,1,16,0.414,0.1872,0,No,3.6,0.765,5.0,5.43,9.38,5.4,No,None,Mid
10,350.17,3,68,0.208,0.2728,3,No,3.1,0.83,3.73,2.73,5.82,2.4,Yes,Medium,Low
24,35.3,13,26,0.043,0.0368,0,No,4.7,0.344,4.97,5.7,9.85,3.1,No,None,Low
15,74.17,4,47,0.269,0.0296,0,No,3.2,0.713,4.16,3.85,9.06,4.4,No,None,Mid
39,110.51,10,50,0.331,0.052,0,No,5.1,0.182,3.74,4.53,8.57,4.7,No,None,Mid
20,43.64,1,17,0.089,0.0072,1,No,6.4,0.473,3.03,6.32,7.34,3.4,No,Low,Low
58,87.66,1,10,0.421,0.0112,4,No,1.5,0.532,3.51,5.03,5.81,5.4,No,Medium,Mid
7,67.17,1,59,0.06,0.0408,1,Yes,4.0,0.355,3.93,3.42,8.13,3.0,No,Low,Low
13,84.32,4,10,0.115,0.108,1,No,3.8,0.298,4.06,5.9,8.03,3.3,No,Low,Low
55,24.85,1,1,0.119,0.0424,1,No,2.8,0.794,2.38,5.92,6.57,3.7,No,Low,Low
28,151.35,1,34,0.556,0.0192,0,No,4.3,0.597,4.84,4.77,9.78,6.0,No,None,High
39,169.91,10,13,0.416,0.0248,0,Yes,1.6,0.514,5.0,5.22,9.92,4.9,No,None,Mid
18,100.68,14,23,0.143,0.1104,1,Yes,5.3,0.303,4.41,6.08,8.38,3.4,No,Low,Low
47,56.4,12,36,0.268,0.0672,0,Yes,3.4,0.843,5.0,4.73,9.78,4.5,No,None,Mid
11,22.4,3,31,0.436,0.02,2,No,7.7,0.749,3.28,6.12,6.88,5.9,No,Low,Mid
36,151.31,28,82,0.635,0.1952,1,No,3.7,0.885,4.35,3.07,8.03,6.5,Yes,Low,High
53,74.11,1,82,0.344,0.22,0,No,3.5,0.747,2.89,2.1,7.16,5.0,Yes,None,Mid
36,28.23,10,116,0.126,0.0024,0,No,3.5,0.618,4.49,1.5,9.48,3.7,Yes,None,Low
2,41.47,1,26,0.334,0.016,0,No,5.5,0.446,5.0,5.57,9.95,5.1,No,None,Mid
48,93.51,25,5,0.275,0.052,0,No,4.7,0.627,3.52,7.15,8.35,4.4,No,None,Mid
46,24.23,12,30,0.639,0.0656,0,No,4.5,0.537,3.86,5.4,8.64,7.3,No,None,High
17,27.45,9,35,0.185,0.0696,0,No,4.3,0.747,3.05,4.98,7.82,4.1,No,None,Low
6,29.07,2,8,0.356,0.0368,2,No,4.2,0.394,5.0,6.07,8.54,5.3,No,Low,Mid
41,69.44,21,18,0.346,0.0496,1,No,4.2,0.471,4.1,6.2,8.27,5.0,No,Low,Mid
46,87.69,12,4,0.15,0.064,0,Yes,4.6,0.438,4.86,6.73,9.65,3.5,No,None,Low
23,110.46,12,16,0.353,0.1096,4,No,3.7,0.762,2.86,5.83,4.83,4.8,No,Medium,Mid
47,129.76,1,8,0.161,0.0048,1,No,3.9,0.378,3.91,5.93,8.23,3.3,No,Low,Low
16,142.6,1,254,0.666,0.0488,0,No,3.0,0.62,5.0,1.03,9.84,6.8,Yes,None,High
60,125.51,1,33,0.401,0.0504,2,No,0.3,0.246,3.69,3.48,7.19,5.1,No,Low,Mid
41,102.8,11,5,0.45,0.0912,0,No,3.0,0.711,4.79,6.12,9.49,5.5,No,None,High
26,103.2,14,118,0.314,0.0376,0,No,4.8,0.644,2.16,2.07,7.03,4.6,Yes,None,Mid
46,128.71,24,5,0.346,0.0088,0,No,4.6,0.513,3.89,7.08,8.86,4.6,No,None,Mid
50,78.52,13,28,0.443,0.0104,1,No,4.6,0.718,5.0,5.57,9.3,5.6,No,Low,Mid
1,35.77,1,17,0.334,0.1552,0,No,6.6,0.209,4.59,6.38,9.07,5.1,No,None,Mid
36,28.88,19,25,0.146,0.0488,1,Yes,2.4,0.608,2.87,5.18,7.04,3.8,No,Low,Low
30,62.7,8,28,0.038,0.112,0,No,9.1,0.89,4.98,6.9,9.61,2.9,No,None,Low
2,27.74,1,4,0.087,0.0176,1,No,4.3,0.487,4.2,6.27,8.47,3.4,No,Low,Low
20,21.59,21,16,0.172,0.0472,0,No,5.2,0.796,3.49,6.63,8.33,4.1,No,None,Low
5,27.74,1,5,0.133,0.0256,1,No,0.0,0.756,4.36,4.78,8.61,3.8,No,Low,Low
31,29.51,8,6,0.396,0.0384,1,No,3.8,0.518,2.62,6.23,6.83,5.6,No,Low,Mid
8,57.57,3,21,0.33,0.044,0,No,0.6,0.223,5.0,4.25,9.85,5.0,No,None,Mid
30,56.78,1,2,0.607,0.1072,1,No,4.5,0.712,4.12,6.43,8.1,6.9,No,Low,High
39,47.64,1,5,0.2,0.0632,0,No,3.4,0.374,4.03,5.92,8.82,4.1,No,None,Low
2,43.25,1,21,0.328,0.0384,1,No,0.0,0.471,3.9,3.98,8.11,5.0,No,Low,Mid
53,16.43,14,37,0.137,0.06,2,No,6.3,0.436,2.57,5.72,6.04,3.9,No,Low,Low
13,60.28,7,64,0.305,0.0792,1,Yes,4.9,0.75,3.64,3.67,7.71,4.8,No,Low,Mid
4,128.08,2,24,0.181,0.0008,0,No,2.3,0.748,2.68,4.63,7.68,3.5,No,None,Low
45,51.7,1,7,0.056,0.2224,1,No,0.1,0.695,4.1,4.72,7.69,3.1,No,Low,Low
52,80.67,14,42,0.215,0.0264,1,No,5.7,0.296,4.96,5.27,9.21,4.0,No,Low,Low
8,132.67,1,24,0.554,0.0056,1,No,4.9,0.7,3.16,5.47,7.47,6.1,No,Low,High
39,62.2,10,4,0.294,0.0728,0,No,3.1,0.774,3.13,6.17,7.89,4.7,No,None,Mid
25,56.8,7,16,0.182,0.0232,2,No,0.0,0.285,3.89,4.43,7.48,3.9,No,Low,Low
7,39.43,1,106,0.312,0.0464,1,No,2.8,0.747,4.03,1.0,8.21,4.9,Yes,Low,Mid
14,96.31,4,50,0.322,0.1056,0,No,4.0,0.848,4.44,3.97,9.09,4.7,No,None,Mid
29,34.75,15,32,0.198,0.2392,2,Yes,0.0,0.597,2.81,3.9,5.68,4.2,No,Low,Low
45,25.44,1,26,0.24,0.0024,2,No,3.9,0.546,2.98,5.03,6.64,4.5,No,Low,Mid
21,29.86,6,21,0.504,0.0296,2,No,3.8,0.436,3.25,5.42,6.82,6.3,No,Low,High
37,102.79,1,81,0.448,0.096,0,No,3.1,0.517,4.93,2.02,9.61,5.5,Yes,None,Mid
56,51.42,29,25,0.263,0.036,1,No,1.6,0.333,3.85,5.25,8.06,4.5,No,Low,Mid
49,114.32,37,14,0.07,0.0136,0,Yes,4.1,0.599,3.58,6.9,8.53,2.8,No,None,Low
33,66.51,1,12,0.204,0.0168,1,No,0.0,0.657,3.57,4.43,7.85,4.0,No,Low,Low
58,64.34,1,96,0.134,0.1056,1,No,3.8,0.456,4.69,1.5,8.67,3.6,Yes,Low,Low
41,38.02,11,2,0.41,0.12,1,Yes,0.3,0.658,5.0,5.37,8.93,5.6,No,Low,Mid
25,84.16,7,6,0.147,0.0488,0,No,3.5,0.481,4.62,6.1,9.46,3.5,No,None,Low
53,46.7,14,59,0.451,0.0712,0,No,3.2,0.358,5.0,3.58,9.76,5.9,No,None,High
59,105.75,15,1,0.513,0.068,1,No,3.5,0.334,2.96,6.62,7.07,6.0,No,Low,High
59,102.8,15,25,0.26,0.1816,4,Yes,1.8,0.564,2.58,4.85,4.31,4.2,No,Medium,Mid
46,62.2,12,47,0.092,0.056,0,No,0.4,0.598,3.87,3.18,8.68,3.3,No,None,Low
14,46.58,1,31,0.194,0.0688,1,No,2.4,0.682,3.72,4.28,7.82,4.1,No,Low,Low
9,66.71,1,14,0.175,0.032,1,No,0.5,0.61,3.95,4.5,8.18,3.8,No,Low,Low
15,79.68,4,33,0.083,0.0368,0,No,1.4,0.903,4.96,3.95,9.84,3.1,No,None,Low
7,95.81,1,80,0.441,0.272,1,No,6.1,0.499,5.0,3.07,8.43,5.5,Yes,Low,Mid
2,60.29,1,6,0.394,0.1944,1,Yes,4.2,0.704,5.0,6.13,8.69,5.4,No,Low,Mid
31,114.84,16,36,0.148,0.0528,0,No,2.5,0.655,3.78,4.57,8.6,3.3,No,None,Low
7,88.09,2,28,0.385,0.0592,0,No,0.5,0.499,4.82,3.83,9.62,5.2,No,None,Mid
41,83.7,1,7,0.233,0.1192,2,No,0.0,0.902,4.48,4.68,7.75,4.1,No,Low,Mid
56,110.26,29,41,0.134,0.0936,1,Yes,0.2,0.249,3.27,3.98,7.29,3.3,No,Low,Low
11,98.64,1,14,0.149,0.1792,0,No,1.3,0.977,3.93,4.77,8.33,3.5,No,None,Low
13,21.71,1,49,0.27,0.0016,1,No,4.2,0.752,5.0,3.98,9.33,4.8,No,Low,Mid
13,154.19,1,6,0.313,0.144,1,No,5.0,0.335,4.39,6.4,8.24,4.3,No,Low,Mid
26,31.43,7,11,0.34,0.04,5,No,0.5,0.593,2.86,4.85,4.39,5.2,No,Medium,Mid
43,117.55,11,47,0.182,0.0008,0,No,2.9,0.787,4.3,3.98,9.3,3.6,No,None,Low
60,46.34,16,4,0.34,0.016,0,Yes,5.8,0.277,3.74,7.27,8.69,5.1,No,None,Mid
50,97.98,13,31,0.143,0.1096,1,No,2.5,0.437,2.77,4.72,6.74,3.4,No,Low,Low
8,31.75,1,8,0.484,0.0992,1,No,4.6,0.898,4.45,6.17,8.45,6.2,No,Low,High
14,53.49,8,108,0.09,0.0632,1,No,2.4,0.708,3.48,1.07,7.6,3.3,Yes,Low,Low
45,314.93,1,10,0.552,0.004,1,No,8.6,0.54,4.15,7.4,8.47,5.0,No,Low,High
60,95.13,16,51,0.451,0.0512,0,Yes,2.6,0.527,4.93,3.85,9.76,5.6,No,None,High
2,42.22,1,32,0.573,0.0448,0,No,5.3,0.632,4.12,5.2,8.97,6.8,No,None,High
56,88.99,29,5,0.345,0.212,3,Yes,0.0,0.848,3.0,5.72,5.29,4.9,No,Medium,Mid
42,47.79,11,10,0.166,0.0056,2,No,1.1,0.494,2.65,5.23,6.3,3.9,No,Low,Low
15,153.63,16,45,0.137,0.0648,1,No,3.9,0.573,3.72,4.58,7.84,3.0,No,Low,Low
57,37.11,15,4,0.285,0.0224,0,No,4.2,0.892,4.17,6.7,9.1,4.8,No,None,Mid
24,91.29,1,40,0.055,0.0088,0,No,4.9,0.736,5.0,4.67,9.97,2.8,No,None,Low
34,41.46,1,3,0.069,0.0936,3,No,2.6,0.812,2.44,5.75,5.13,3.2,No,Medium,Low
4,50.0,2,19,0.279,0.084,0,No,5.8,0.716,4.08,6.05,8.8,4.7,No,None,Mid
18,84.13,5,108,0.127,0.0512,1,No,3.9,0.877,2.73,1.47,6.89,3.4,Yes,Low,Low
25,60.92,1,13,0.124,0.0704,0,No,3.3,0.984,2.95,5.48,7.72,3.5,No,None,Low
47,46.08,12,115,0.435,0.052,0,No,3.2,0.669,4.58,1.47,9.41,5.8,Yes,None,Mid
24,48.65,13,15,0.281,0.0064,0,Yes,3.7,0.548,3.72,5.92,8.7,4.7,No,None,Mid
6,86.11,1,2,0.764,0.0088,0,No,2.0,0.404,3.23,5.6,8.2,7.8,No,None,Extreme
34,43.62,1,4,0.183,0.0352,2,No,0.0,0.682,2.8,4.83,6.35,4.0,No,Low,Low
51,153.71,13,30,0.094,0.048,1,No,2.3,0.815,5.0,4.7,9.17,2.7,No,Low,Low
38,96.15,1,14,0.381,0.0496,0,Yes,2.1,0.462,4.05,5.03,8.88,5.1,No,None,Mid
3,214.03,1,21,0.316,0.0176,0,No,2.5,0.278,3.21,4.82,8.15,3.9,No,None,Mid
19,57.84,1,70,0.271,0.0272,0,No,0.0,0.646,3.71,1.53,8.62,4.5,Yes,None,Mid
47,84.14,48,6,0.4,0.1176,1,Yes,0.0,0.951,2.88,6.3,6.82,5.3,No,Low,Mid
46,108.5,12,74,0.158,0.1944,3,Yes,0.5,0.922,2.15,1.87,4.5,3.5,Yes,Medium,Low
58,27.85,15,7,0.258,0.0024,0,Yes,0.0,0.568,5.0,5.15,9.99,4.6,No,None,Mid
36,95.04,1,20,0.331,0.0408,1,Yes,3.6,0.846,4.27,5.23,8.47,4.7,No,Low,Mid
19,71.83,1,11,0.562,0.0408,0,No,4.5,0.357,4.66,5.98,9.52,6.5,No,None,High
28,76.58,1,27,0.4,0.2008,1,No,2.0,0.174,3.16,4.35,6.82,5.3,No,Low,Mid
47,140.58,36,13,0.073,0.0128,0,No,1.3,0.203,5.0,5.98,9.96,2.7,No,None,Low
55,46.06,14,14,0.422,0.0256,1,No,2.1,0.417,2.79,5.47,7.04,5.7,No,Low,Mid
56,72.63,15,119,0.187,0.1352,0,No,5.2,0.39,3.32,2.23,7.87,3.9,Yes,None,Low
10,71.22,6,46,0.577,0.0328,2,No,1.3,0.677,4.51,3.33,8.07,6.6,Yes,Low,High
18,86.59,5,21,0.544,0.0384,0,No,4.1,0.512,3.31,5.48,8.18,6.3,No,None,High
4,98.48,1,97,0.22,0.0016,1,No,2.5,0.554,4.54,1.02,8.87,3.9,Yes,Low,Low
12,64.13,4,58,0.415,0.1024,0,No,4.4,0.375,3.07,3.7,7.73,5.5,Yes,None,Mid
27,86.53,7,16,0.291,0.052,1,Yes,7.0,0.684,5.0,6.77,9.16,4.5,No,Low,Mid
29,36.7,8,30,0.231,0.128,1,Yes,1.7,0.752,3.33,4.33,7.24,4.4,No,Low,Mid
57,150.98,29,7,0.414,0.0296,0,Yes,3.4,0.526,3.53,6.75,8.43,5.0,No,None,Mid
12,138.16,1,27,0.168,0.0136,0,No,2.0,0.742,5.0,4.35,9.95,3.3,No,None,Low
11,20.62,1,64,0.552,0.0064,0,No,4.1,0.292,3.54,3.2,8.52,6.7,Yes,None,High
4,31.73,2,5,0.13,0.3576,1,No,1.0,0.315,3.24,5.15,6.38,3.7,No,Low,Low
46,29.31,12,4,0.264,0.1096,2,Yes,5.9,0.48,3.47,7.17,6.77,4.7,No,Low,Mid
59,107.3,1,23,0.174,0.0392,0,Yes,3.5,0.596,3.46,5.05,8.33,3.6,No,None,Low
